0.03,    0.70

0.00,    1.01

0.00,    0.00

0.00,    1.04

0.00,    1.01

0.00,    0.00

0.00,    1.01

0.00,    1.04

0.00,    1.01

0.00,    0.00

0.00,    1.01

0.00,    1.04

0.00,    0.00

0.00,    1.01

0.00,    1.04

0.00,    0.00

0.00,    1.01

0.00,    1.01

0.00,    1.04

0.00,    0.00

0.00,    1.01

0.00,    1.04

0.00,    0.00

0.00,    1.01

0.00,    1.01

0.00,    0.00

0.00,    1.01

0.00,    1.01

0.00,    1.01

0.00,    0.00

0.00,    1.01

0.00,    1.01

0.00,    0.00

0.00,    1.01

0.00,    1.01

0.00,    0.00

0.00,    1.04

0.00,    1.01

0.00,    0.00

0.00,    1.04

0.00,    1.01

0.00,    1.01

0.00,    0.00

0.00,    1.04

0.00,    1.01

0.00,    0.00

0.00,    1.01

0.00,    1.04

0.00,    1.01

0.00,    0.00

0.00,    1.04

0.00,    1.01

0.00,    0.00

0.00,    1.01

0.00,    1.04

0.00,    0.00

0.00,    1.01

0.00,    1.04

0.00,    1.01

0.00,    0.00

0.00,    1.01

0.00,    1.04

0.00,    0.00

0.00,    1.01

0.00,    1.01
